item,column,count,percent
Other,B9[other]. What makes user research documentation difficult in your work? [Other],1,8.333333333333332
Documentation is too detailed to be useful,B9[SQ009]. What makes user research documentation difficult in your work? [Documentation is too detailed to be useful],1,8.333333333333332
Not enough time,B9[SQ001]. What makes user research documentation difficult in your work? [Not enough time],2,16.666666666666664
Documentation becomes outdated quickly,B9[SQ008]. What makes user research documentation difficult in your work? [Documentation becomes outdated quickly],3,25.0
Unclear access to already documented research,B9[SQ005]. What makes user research documentation difficult in your work? [Unclear access to already documented research],3,25.0
Lack of templates / documentation standards,B9[SQ003]. What makes user research documentation difficult in your work? [Lack of templates / documentation standards],3,25.0
Documentation is not prioritized by stakeholders,B9[SQ002]. What makes user research documentation difficult in your work? [Documentation is not prioritized by stakeholders],3,25.0
"Difficult to connect raw data, findings, and design decisions","B9[SQ007]. What makes user research documentation difficult in your work? [Difficult to connect raw data, findings, and design decisions]",4,33.33333333333333
Tools do not fit an end-to-end documentation workflow,B9[SQ004]. What makes user research documentation difficult in your work? [Tools do not fit an end-to-end documentation workflow],4,33.33333333333333
Sensitive data / privacy restrictions,B9[SQ006]. What makes user research documentation difficult in your work? [Sensitive data / privacy restrictions],6,50.0
